,is_paid,price,num_subscribers,level,content_duration,subject
184,True,120,975,Intermediate Level,1.0,Business Finance
185,True,145,1398,All Levels,1.5,Business Finance
186,True,195,1096,All Levels,1.5,Business Finance
187,True,200,1703,All Levels,2.0,Business Finance
188,True,45,1446,Beginner Level,5.0,Business Finance
189,True,20,2736,All Levels,1.5,Business Finance
190,True,200,2000,All Levels,4.5,Business Finance
191,True,75,853,Beginner Level,4.5,Business Finance
192,True,20,3094,All Levels,3.5,Business Finance
193,False,0,4077,Beginner Level,1.5,Business Finance
194,True,20,4117,Intermediate Level,1.0,Business Finance
195,True,20,1369,All Levels,1.5,Business Finance
196,True,150,1224,All Levels,0.55,Business Finance
197,True,20,3870,All Levels,9.0,Business Finance
198,True,200,897,All Levels,2.0,Business Finance
199,True,45,1311,All Levels,1.0,Business Finance
200,True,60,1338,Expert Level,1.0,Business Finance
201,True,20,1589,Intermediate Level,1.5,Business Finance
202,True,20,1189,All Levels,1.5,Business Finance
203,True,50,701,All Levels,5.5,Business Finance
204,True,50,1105,Intermediate Level,6.0,Business Finance
205,True,50,123,All Levels,2.0,Business Finance
206,False,0,5874,Intermediate Level,2.0,Business Finance
207,True,50,354,All Levels,7.0,Business Finance
208,True,60,727,All Levels,1.0,Business Finance
209,False,0,3465,Beginner Level,2.0,Business Finance
210,True,60,54,Expert Level,0.7166666666666667,Business Finance
211,True,40,627,All Levels,1.5,Business Finance
212,True,45,650,All Levels,10.0,Business Finance
213,False,0,965,Intermediate Level,1.5,Business Finance
214,True,200,1113,All Levels,1.0,Business Finance
215,True,95,739,All Levels,2.0,Business Finance
216,True,20,1201,All Levels,1.5,Business Finance
217,True,50,2474,All Levels,17.5,Business Finance
218,True,200,494,All Levels,1.0,Business Finance
219,True,95,1580,Intermediate Level,1.0,Business Finance
220,True,40,617,All Levels,4.5,Business Finance
221,True,20,2235,All Levels,1.0,Business Finance
222,True,20,2293,All Levels,2.0,Business Finance
223,True,200,1094,Beginner Level,2.0,Business Finance
224,True,20,1449,Beginner Level,1.5,Business Finance
225,True,20,3251,Beginner Level,12.0,Business Finance
226,True,60,607,Intermediate Level,2.0,Business Finance
227,True,75,1218,All Levels,3.5,Business Finance
228,True,20,1132,All Levels,1.0,Business Finance
229,True,20,656,All Levels,1.5,Business Finance
230,True,20,3339,Beginner Level,1.5,Business Finance
231,True,200,1271,Expert Level,1.5,Business Finance
232,True,20,1574,All Levels,2.0,Business Finance
233,True,20,1393,Beginner Level,2.0,Business Finance
234,True,20,1029,All Levels,0.6833333333333333,Business Finance
235,True,30,843,All Levels,3.0,Business Finance
236,True,95,1730,All Levels,1.5,Business Finance
237,True,50,1182,All Levels,4.0,Business Finance
238,True,65,1160,Intermediate Level,2.5,Business Finance
239,True,95,1730,All Levels,2.0,Business Finance
240,True,50,1260,Intermediate Level,4.0,Business Finance
241,True,95,871,All Levels,2.0,Business Finance
242,True,50,1566,All Levels,2.5,Business Finance
243,True,105,2987,All Levels,2.0,Business Finance
244,True,120,973,All Levels,2.5,Business Finance
245,True,40,2177,Beginner Level,5.0,Business Finance
246,True,35,1772,Beginner Level,3.5,Business Finance
247,True,20,1850,All Levels,1.0,Business Finance
248,False,0,1780,Beginner Level,1.0,Business Finance
249,False,0,4607,Beginner Level,0.5333333333333333,Business Finance
250,True,50,12,Intermediate Level,4.0,Business Finance
251,True,20,13,All Levels,1.0,Business Finance
252,True,200,2,All Levels,1.0,Business Finance
253,False,0,2571,All Levels,4.5,Business Finance
254,True,125,8,Intermediate Level,2.5,Business Finance
255,True,35,7,All Levels,1.0,Business Finance
256,True,20,217,Beginner Level,2.5,Business Finance
257,True,75,22,All Levels,4.5,Business Finance
258,True,50,131,All Levels,3.0,Business Finance
259,True,30,5,Beginner Level,2.0,Business Finance
260,True,50,116,All Levels,24.0,Business Finance
261,True,100,27,All Levels,19.5,Business Finance
262,True,150,912,Beginner Level,3.0,Business Finance
263,True,20,1964,All Levels,1.5,Business Finance
264,True,200,1033,Beginner Level,1.5,Business Finance
265,True,95,913,Expert Level,2.0,Business Finance
266,True,200,2092,All Levels,3.5,Business Finance
267,True,95,2240,All Levels,2.5,Business Finance
268,True,30,4601,Intermediate Level,4.0,Business Finance
269,True,25,2953,All Levels,20.5,Business Finance
270,True,125,1091,Beginner Level,3.0,Business Finance
271,True,35,1459,Beginner Level,1.0,Business Finance
272,True,30,4855,Beginner Level,4.0,Business Finance
273,True,50,4034,Intermediate Level,3.0,Business Finance
274,True,200,57,Intermediate Level,3.0,Business Finance
275,True,35,26,All Levels,2.0,Business Finance
276,True,25,14,All Levels,2.5,Business Finance
277,True,50,49,Beginner Level,3.0,Business Finance
278,True,20,11,Intermediate Level,0.5,Business Finance
279,True,20,9,Beginner Level,0.7166666666666667,Business Finance
280,True,20,91,All Levels,2.0,Business Finance
281,True,20,44,All Levels,10.0,Business Finance
282,True,125,106,All Levels,20.5,Business Finance
283,False,0,2079,All Levels,2.0,Business Finance
284,True,20,135,Beginner Level,1.5,Business Finance
285,True,20,31,All Levels,10.5,Business Finance
286,True,60,217,All Levels,1.0,Business Finance
287,True,60,611,All Levels,1.5,Business Finance
288,False,0,5007,All Levels,3.0,Business Finance
289,True,50,1168,Beginner Level,5.5,Business Finance
290,False,0,4653,All Levels,0.5166666666666666,Business Finance
291,False,0,3035,All Levels,1.5,Business Finance
292,True,60,454,Expert Level,2.0,Business Finance
293,True,60,325,All Levels,5.0,Business Finance
294,True,115,228,All Levels,4.5,Business Finance
295,True,25,562,All Levels,1.0,Business Finance
296,True,120,577,Intermediate Level,6.5,Business Finance
297,False,0,10540,Beginner Level,1.5,Business Finance
298,True,150,912,All Levels,2.5,Business Finance
299,False,0,2955,Intermediate Level,2.0,Business Finance
300,True,50,190,Expert Level,6.0,Business Finance
301,False,0,1736,All Levels,0.6,Business Finance
302,True,35,1135,Beginner Level,1.5,Business Finance
303,True,20,2101,All Levels,2.0,Business Finance
304,True,200,1048,All Levels,1.5,Business Finance
305,True,20,1740,All Levels,1.0,Business Finance
306,True,20,1749,All Levels,1.0,Business Finance
307,True,80,1187,All Levels,0.7,Business Finance
308,True,70,1263,Beginner Level,1.5,Business Finance
309,True,50,115,Beginner Level,4.0,Business Finance
310,True,20,43,Beginner Level,3.0,Business Finance
311,True,75,55,All Levels,5.5,Business Finance
312,True,90,18,All Levels,7.0,Business Finance
313,True,40,14,All Levels,1.0,Business Finance
314,True,30,47,Beginner Level,2.0,Business Finance
315,True,200,134,All Levels,5.5,Business Finance
316,True,20,153,All Levels,1.5,Business Finance
317,True,75,47,All Levels,2.5,Business Finance
318,True,25,42,All Levels,0.6833333333333333,Business Finance
319,True,20,120,All Levels,2.0,Business Finance
320,True,20,68,Beginner Level,0.5,Business Finance
321,True,50,844,All Levels,2.0,Business Finance
322,True,20,2045,All Levels,2.0,Business Finance
323,True,20,1168,All Levels,0.6833333333333333,Business Finance
324,True,25,2342,Intermediate Level,3.5,Business Finance
325,True,20,2268,All Levels,5.5,Business Finance
326,True,50,967,All Levels,8.0,Business Finance
327,True,200,1185,Beginner Level,2.5,Business Finance
328,True,200,631,All Levels,2.0,Business Finance
329,True,60,968,Intermediate Level,2.0,Business Finance
330,True,180,1132,All Levels,29.0,Business Finance
331,True,50,114,Beginner Level,4.0,Business Finance
332,True,200,204,Intermediate Level,1.5,Business Finance
333,True,30,1548,All Levels,3.0,Business Finance
334,True,50,409,All Levels,8.0,Business Finance
335,True,40,1169,Beginner Level,3.0,Business Finance
336,True,50,249,Beginner Level,2.5,Business Finance
337,True,20,690,Beginner Level,1.0,Business Finance
338,True,150,1340,All Levels,26.0,Business Finance
339,True,95,274,All Levels,1.5,Business Finance
340,False,0,4863,Beginner Level,1.5,Business Finance
341,True,20,1923,All Levels,2.5,Business Finance
342,True,200,224,All Levels,1.5,Business Finance
343,True,20,721,Beginner Level,3.0,Business Finance
344,True,60,51,Expert Level,0.7,Business Finance
345,True,195,1276,All Levels,6.0,Business Finance
346,False,0,2768,All Levels,1.0,Business Finance
347,False,0,1735,All Levels,2.5,Business Finance
348,False,0,8985,All Levels,1.0,Business Finance
349,True,45,1119,All Levels,1.0,Business Finance
350,True,100,2591,All Levels,10.0,Business Finance
351,True,20,1046,All Levels,1.0,Business Finance
352,True,20,2239,All Levels,1.0,Business Finance
353,True,200,1882,All Levels,11.0,Business Finance
354,False,0,5931,Beginner Level,3.5,Business Finance
355,False,0,4931,Beginner Level,0.5333333333333333,Business Finance
356,True,180,3056,All Levels,24.5,Business Finance
357,True,75,1303,Beginner Level,3.0,Business Finance
358,True,25,2924,All Levels,1.5,Business Finance
359,True,50,1405,All Levels,2.0,Business Finance
360,False,0,1121,All Levels,1.0,Business Finance
361,True,95,1776,All Levels,2.5,Business Finance
362,True,40,1643,All Levels,2.0,Business Finance
363,True,100,801,Beginner Level,2.5,Business Finance
364,True,145,951,All Levels,6.0,Business Finance
365,True,30,1278,Beginner Level,0.7166666666666667,Business Finance
366,True,50,1184,All Levels,6.0,Business Finance
367,True,20,1115,All Levels,1.0,Business Finance
368,True,20,1086,All Levels,2.0,Business Finance
369,True,20,3730,All Levels,2.5,Business Finance
370,True,95,810,All Levels,2.5,Business Finance
371,True,90,2338,All Levels,1.5,Business Finance
372,True,20,3403,All Levels,8.0,Business Finance
373,True,75,4695,Beginner Level,1.0,Business Finance
374,False,0,17847,Beginner Level,1.0,Business Finance
375,True,50,2692,Beginner Level,1.5,Business Finance
376,True,20,6374,All Levels,1.0,Business Finance
377,True,145,2305,All Levels,1.5,Business Finance
378,True,100,589,All Levels,10.0,Business Finance
379,True,60,22,Beginner Level,1.0,Business Finance
380,True,45,2490,Beginner Level,3.0,Business Finance
381,True,200,2715,Expert Level,4.0,Business Finance
382,True,200,1506,All Levels,1.0,Business Finance
383,True,150,2197,All Levels,5.5,Business Finance
384,True,200,338,All Levels,3.5,Business Finance
385,True,25,1076,Beginner Level,5.0,Business Finance
386,True,20,2769,All Levels,1.5,Business Finance
387,True,25,1531,Beginner Level,0.5833333333333334,Business Finance
388,True,125,1136,Beginner Level,1.0,Business Finance
389,True,50,2187,All Levels,13.0,Business Finance
390,True,20,1609,All Levels,1.0,Business Finance
391,True,20,2895,Beginner Level,1.0,Business Finance
392,True,200,1023,All Levels,2.5,Business Finance
393,True,150,1988,All Levels,1.5,Business Finance
394,True,200,1053,Beginner Level,0.7333333333333333,Business Finance
395,True,20,4497,All Levels,1.0,Business Finance
396,True,160,2379,All Levels,3.5,Business Finance
397,True,200,993,All Levels,1.0,Business Finance
398,True,30,10338,Beginner Level,2.5,Business Finance
399,True,20,1423,Beginner Level,1.5,Business Finance
400,True,40,3555,All Levels,1.5,Business Finance
401,True,50,567,All Levels,7.5,Business Finance
402,True,200,1085,All Levels,6.0,Business Finance
403,True,200,7159,All Levels,2.0,Business Finance
404,True,100,11517,All Levels,1.5,Business Finance
405,True,50,1,Intermediate Level,2.0,Business Finance
406,True,20,10,Beginner Level,0.6,Business Finance
407,True,50,41,All Levels,7.5,Business Finance
408,True,200,8,Beginner Level,1.5,Business Finance
409,True,50,43,Beginner Level,4.0,Business Finance
410,True,30,23,Beginner Level,1.0,Business Finance
411,True,20,9,Beginner Level,1.0,Business Finance
412,True,20,25,All Levels,3.5,Business Finance
413,True,25,7,All Levels,1.0,Business Finance
