,n_enrolled,Level,subject,language,subtitles,price
404,6616.0,Advanced,Economics & Finance,English,English,25.0
405,19010.0,Introductory,Chemistry,English,English,49.0
406,11922.0,Introductory,Business & Management,English,English,149.0
407,5855.0,Introductory,Literature,English,English,139.0
408,83322.0,Intermediate,Physics,English,English,50.0
409,18489.0,Introductory,Art & Culture,中文,"日本語, 中文",139.0
410,5742.0,Introductory,Medicine,English,English,10.0
411,31368.0,Introductory,Humanities,English,English,50.0
412,99971.0,Introductory,Engineering,English,English,50.0
413,5683.0,Introductory,Biology & Life Sciences,Español,Español,29.0
414,18849.0,Introductory,Language,Español,Español,49.0
415,32140.0,Intermediate,Data Analysis & Statistics,English,English,99.0
416,48439.0,Introductory,Humanities,English,English,49.0
417,7668.0,Introductory,Environmental Studies,English,English,5.0
418,37558.0,Intermediate,Business & Management,English,English,99.0
419,93965.0,Intermediate,Physics,English,English,50.0
420,12230.0,Introductory,Economics & Finance,English,English,199.0
421,14627.0,Introductory,Communication,Español,Español,49.0
422,6416.0,Introductory,Business & Management,English,English,199.0
423,36370.0,Intermediate,Data Analysis & Statistics,English,English,149.0
424,10355.0,Intermediate,Business & Management,English,English,199.0
425,18294.0,Advanced,Engineering,English,English,249.0
426,18029.0,Introductory,Humanities,English,English,49.0
427,51590.0,Intermediate,Data Analysis & Statistics,English,English,149.0
428,13300.0,Introductory,Humanities,English,English,49.0
429,18331.0,Introductory,Music,English,English,99.0
430,7605.0,Intermediate,Computer Science,English,English,50.0
431,46610.0,Intermediate,Business & Management,English,English,150.0
432,5473.0,Introductory,Economics & Finance,Español,Español,49.0
433,5473.0,Advanced,Economics & Finance,Español,Español,49.0
434,8089.0,Introductory,Education & Teacher Training,English,English,49.0
435,43993.0,Intermediate,Law,English,English,169.0
436,68199.0,Advanced,Computer Science,English,English,249.0
437,6824.0,Introductory,Business & Management,Français,Français,99.0
438,9927.0,Introductory,Humanities,English,English,50.0
439,8080.0,Introductory,Language,English,"English, 日本語",99.0
440,26850.0,Advanced,Data Analysis & Statistics,English,English,149.0
441,11655.0,Introductory,Business & Management,English,English,49.0
442,30609.0,Intermediate,Computer Science,English,English,149.0
443,26659.0,Introductory,Communication,English,English,49.0
444,5306.0,Advanced,Computer Science,English,English,100.0
445,16339.0,Advanced,Engineering,English,English,199.0
446,13263.0,Intermediate,Business & Management,English,English,25.0
447,32635.0,Introductory,Humanities,Español,Español,29.0
448,21970.0,Introductory,Business & Management,English,English,225.0
449,42834.0,Intermediate,Business & Management,English,English,99.0
450,75464.0,Advanced,Business & Management,English,English,299.0
451,54249.0,Advanced,Computer Science,English,English,149.0
452,36787.0,Introductory,Business & Management,English,English,199.0
453,17713.0,Introductory,History,English,English,25.0
454,9512.0,Introductory,Business & Management,Español,"English, Español",119.0
455,10962.0,Introductory,Economics & Finance,English,English,79.0
456,5001.0,Introductory,Computer Science,Español,English,49.0
457,7180.0,Advanced,Business & Management,Español,English,99.0
458,29171.0,Introductory,Economics & Finance,English,English,5.0
459,,Introductory,Communication,English,English,199.0
460,8771.0,Intermediate,Business & Management,Português,Português,25.0
461,52369.0,Introductory,Engineering,English,English,49.0
462,,Introductory,Business & Management,Español,Español,25.0
463,33072.0,Introductory,Computer Science,English,English,199.0
464,31533.0,Introductory,Computer Science,Español,Español,49.0
465,13124.0,Introductory,Music,Español,Español,49.0
466,6238.0,Introductory,Environmental Studies,English,English,5.0
467,9503.0,Introductory,Computer Science,English,English,149.0
468,7346.0,Intermediate,Language,English,English,49.0
469,7868.0,Introductory,Data Analysis & Statistics,English,English,39.0
470,21291.0,Introductory,Humanities,English,"English, 中文",49.0
471,12888.0,Intermediate,Physics,English,English,49.0
472,23408.0,Intermediate,Economics & Finance,English,English,25.0
473,14937.0,Introductory,Biology & Life Sciences,English,English,79.0
474,32810.0,Intermediate,Business & Management,English,English,199.0
475,12639.0,Introductory,Business & Management,Español,English,149.0
476,64387.0,Intermediate,Social Sciences,Español,"English, Español, Português",25.0
477,5763.0,Intermediate,Medicine,English,English,49.0
478,27114.0,Introductory,Education & Teacher Training,English,English,49.0
479,8313.0,Introductory,Language,English,English,99.0
480,31419.0,Advanced,Law,English,English,150.0
481,25111.0,Introductory,Education & Teacher Training,Español,Español,49.0
482,20802.0,Introductory,Physics,English,English,139.0
483,10618.0,Introductory,Medicine,English,"English, 中文, 中文",139.0
484,15297.0,Introductory,Biology & Life Sciences,Español,Español,49.0
485,17820.0,Introductory,Economics & Finance,English,English,129.0
486,22011.0,Introductory,Computer Science,English,"English, 中文",199.0
487,18168.0,Advanced,Biology & Life Sciences,English,"English, 中文",99.0
488,12166.0,Intermediate,Environmental Studies,English,English,49.0
489,39672.0,Intermediate,Communication,English,English,99.0
490,12084.0,Introductory,Business & Management,Español,Español,49.0
491,14673.0,Intermediate,Engineering,Español,Español,50.0
492,7032.0,Introductory,Computer Science,English,English,99.0
493,14852.0,Intermediate,Business & Management,English,English,129.0
494,,Introductory,Computer Science,English,English,49.0
495,7397.0,Introductory,Engineering,Español,Español,29.0
496,45760.0,Introductory,Social Sciences,English,English,50.0
497,56485.0,Introductory,Medicine,English,English,99.0
498,23321.0,Introductory,Computer Science,Español,Español,49.0
499,9665.0,Intermediate,Electronics,English,"English, 中文",169.0
500,47083.0,Introductory,History,English,"English, 中文",139.0
501,8697.0,Introductory,Computer Science,English,English,149.0
502,,Introductory,Data Analysis & Statistics,Español,Español,39.0
503,,Introductory,Language,English,English,99.0
