name,rating
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.6
Japanese for beginners 1,3.4
Java Programming: Solving Problems with Software,4.5
Kotlin for Java Developers,4.5
L'excellence opérationnelle en pratique,4.7
Leadership in 21st Century Organizations,4.8
Leading Healthcare Quality and Safety,4.8
"Leading for Equity, Diversity and Inclusion in Higher Education",4.8
Leading transformations: Manage change,4.3
Learn to Program: The Fundamentals,4.7
Learn to Speak Korean 1,4.9
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8
Learning to Teach Online,4.8
Legal Tech & Startups,4.0
Les Fondamentaux de la Négociation,4.9
Love as a Force for Social Justice,4.6
Machine Learning,4.8
Machine Learning Foundations: A Case Study Approach,4.5
Machine Learning for All,4.7
Machine Learning for Business Professionals,4.6
Machine Learning with Python,4.5
Magic in the Middle Ages,4.6
Making Architecture,4.8
Management of Fashion and Luxury Companies,4.7
Managerial Accounting Fundamentals,4.9
Managing Project Risks and Changes,4.8
Managing an Agile Team,4.7
Managing as a Coach,4.8
Managing the Company of the Future,4.8
Marketing Analytics,4.7
Marketing Digital,4.8
Marketing Gerencial,4.7
Marketing in a Digital World,4.7
Mastering Data Analysis in Excel,3.8
Mastering Final Cut Pro,4.5
Mathematical Thinking in Computer Science,4.3
Mathematics for Machine Learning: Linear Algebra,4.6
Mathematics for Machine Learning: Multivariate Calculus,4.7
Mathematics for Machine Learning: PCA,3.5
Medical Neuroscience,4.9
Memoir and Personal Essay: Managing Your Relationship with the Reader,4.4
Microeconomics Principles,4.8
Mind Control: Managing Your Mental Health During COVID-19,4.8
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.9
Miracles of Human Language: An Introduction to Linguistics,4.7
Model Thinking,4.8
Modern Art & Ideas,4.8
Modernizing Data Lakes and Data Warehouses with GCP,4.6
Moral Foundations of Politics,4.9
Moralities of Everyday Life,4.8
More Introduction to Financial Accounting,4.9
Music Business Foundations,4.9
Nanotechnology: A Maker’s Course,4.8
Natural Language Processing in TensorFlow,4.2
Natural Language Processing with Attention Models,3.3
Natural Language Processing with Classification and Vector Spaces,4.4
Natural Language Processing with Probabilistic Models,4.6
Natural Language Processing with Sequence Models,4.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),4.8
Neural Networks and Deep Learning,4.8
New Approaches to Countering Terror: Countering Violent Extremism,4.8
Nutrición y obesidad: control de sobrepeso,4.8
Nutrition and Lifestyle in Pregnancy,4.8
Object Oriented Programming in Java,4.7
Object-Oriented Data Structures in C++,4.6
Object-Oriented Design,4.6
Oil & Gas Industry Operations and Markets,4.8
Operating Systems and You: Becoming a Power User,4.5
Operations Analytics,4.7
Ordered Data Structures,4.7
Osteoarchaeology: The Truth in Our Bones,4.7
Paleontology: Theropod Dinosaurs and the Origin of Birds,4.9
"Penetration Testing, Incident Response and Forensics",4.5
People Analytics,4.5
Perfect Tenses and Modals,4.8
Personal & Family Financial Planning,4.6
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.7
Politics and Economics of International Energy,4.7
Population Health During A Pandemic: Contact Tracing and Beyond,4.8
Positive Psychiatry and Mental Health,4.9
Positive Psychology,4.7
Positive Psychology: Applications and Interventions,4.9
Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.9
Positive Psychology: Resilience Skills,4.9
Practical Time Series Analysis,4.5
Preparing for the Google Cloud Associate Cloud Engineer Exam,4.6
Preparing for the Google Cloud Professional Cloud Architect Exam,4.5
Preparing to Manage Human Resources,4.9
Primeros Auxilios Psicológicos (PAP),4.9
Principles of Sustainable Finance,4.9
Privacy Law and Data Protection,4.8
Private Equity and Venture Capital,4.8
Probability and Statistics: To p or not to p?,4.7
Process Mining: Data science in Action,4.8
"Programming Foundations with JavaScript, HTML and CSS",4.5
Programming Fundamentals,4.7
"Programming Languages, Part A",4.9
Programming for Everybody (Getting Started with Python),4.6
Project Execution,3.9
Project Launch,4.4
Project Planning,4.4
Psychological First Aid,4.9
Public Policy Challenges of the 21st Century,4.6
Python Basics,4.8
Python Data Structures,4.8
"Python Functions, Files, and Dictionaries",4.8
Python Programming: A Concise Introduction,4.6
Python and Statistics for Financial Analysis,4.4
Python for Data Science and AI,4.3
Quantitative Methods,4.8
R Programming,4.2
Race and Cultural Diversity in American Life and History,4.4
"Recruiting, Hiring, and Onboarding Employees",3.8
Refugees in the 21st Century,4.8
Reliable Google Cloud Infrastructure: Design and Process,4.7
Removing Barriers to Change,5.0
Renewable Energy and Green Building Entrepreneurship,4.8
Reporting extra-financier et stratégie RSE,4.6
Research Data Management and Sharing,4.7
Rethinking International Tax Law,4.8
Revisão Sistemática e Meta-análise,4.9
Roman Architecture,4.8
Rédaction de contrats,4.8
Réussir le Changement,4.4
SQL for Data Science,4.5
Sample-based Learning Methods,4.5
Schizophrenia,4.7
Science of Exercise,4.9
Search Engine Optimization Fundamentals,4.7
Seeing Through Photographs,4.8
Sequence Models,4.6
"Sequences, Time Series and Prediction",4.5
Site Reliability Engineering: Measuring and Managing Reliability,4.3
Six Sigma Principles,4.6
Six Sigma and the Organization (Advanced),4.7
"Sleep: Neurobiology, Medicine, and Society",4.8
Smart Cities – Management of Smart Urban Infrastructures,4.6
Social Impact Strategy: Tools for Entrepreneurs and Innovators,4.9
"Social Norms, Social Change I",4.6
Social Psychology,4.9
Social Work Practice: Advocating Social Justice and Change,4.8
Social and Economic Networks:  Models and Analysis,1.0
Software Processes and Agile Practices,4.7
Solar Energy Basics,4.8
Songwriting: Writing the Lyrics,4.7
Spanish Vocabulary: Meeting People,4.5
Spanish for Successful Communication in Healthcare Settings,4.0
"Speak English Professionally: In Person, Online & On the Phone",4.8
Sports Marketing,4.7
Sports and Society,4.9
Stanford Introduction to Food and Health,4.7
Stochastic processes,4.2
Strategic Business Management - Microeconomics,4.8
Strategic Management,4.8
Structuring Machine Learning Projects,4.7
Success,4.9
Successful Negotiation: Essential Strategies and Skills,4.8
Summary Statistics in Public Health,4.8
Supply Chain Logistics,4.7
Supply Chain Principles,4.6
Supporting children with difficulties in reading and writing,4.8
Sustainable Fashion,4.8
Sustainable Tourism – promoting environmental public health,4.6
System Administration and IT Infrastructure Services,4.7
Systems Thinking In Public Health,4.4
Teach English Now! Foundational Principles,4.9
Teach English Now! Teaching Language Online,4.6
Teamwork Skills: Communicating Effectively in Groups,4.8
Technical Support Fundamentals,4.8
Terrorism and Counterterrorism: Comparing Theory and Practice,4.7
The Addicted Brain,4.5
The Art of Music Production,4.8
The Arts and Science of Relationships: Understanding Human Needs,4.4
The Bits and Bytes of Computer Networking,4.6
The Business of Product Management I,4.3
The Cycle: Management of Successful Arts and Cultural Organizations,4.9
The Data Scientist’s Toolbox,4.5
The Global Financial Crisis,4.8
The Horse Course: Introduction to Basic Care and Management,5.0
The Introduction to Quantum Computing,3.3
The Manager's Toolkit: A Practical Guide to Managing People at Work,4.7
"The Modern World, Part One: Global History from 1760 to 1910",4.8
"The Modern World, Part Two: Global History since 1910",4.9
The Oral Cavity: Portal to Health and Disease,4.9
The Power of Macroeconomics: Economic Principles in the Real World,4.6
The Power of Microeconomics: Economic Principles in the Real World,4.7
The Science of Stem Cells,4.7
The Science of Success: What Researchers Know that You Should Know,4.8
The Science of Well-Being,4.9
The Social Context of Mental Health and Illness,4.6
The Strategy of Content Marketing,4.5
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.8
The Technology of Music Production,4.9
The Truth About Cats and Dogs,4.8
Think Again I: How to Understand Arguments,4.6
Tools for Data Science,4.0
Transformation of the Global Food System,4.8
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.7
Tricky American English Pronunciation,4.7
Troubles du spectre de l'autisme : diagnostic,4.8
Troubleshooting and Debugging Techniques,4.3
UX / UI: Fundamentos para o design de interface,4.3
UX Design Fundamentals,4.8
Understanding Clinical Research: Behind the Statistics,4.8
Understanding Einstein: The Special Theory of Relativity,4.9
Understanding Financial Markets,4.7
Understanding International Relations Theory,4.7
Understanding Medical Research: Your Facebook Friend is Wrong,4.9
Understanding Plants - Part I: What a Plant Knows,4.8
Understanding Research Methods,4.6
Understanding and Visualizing Data with Python,4.6
Understanding child development: from synapse to society,4.6
Understanding the Brain: The Neurobiology of Everyday Life,4.9
Using Databases with Python,4.7
Using Python to Access Web Data,4.7
Using Python to Interact with the Operating System,4.6
VLSI CAD Part I: Logic,4.7
Verb Tenses and Passives,4.7
Version Control with Git,4.7
Viral Marketing and How to Craft Contagious Content,4.8
Visual Elements of User Interface Design,4.6
Vital Signs: Understanding What the Body Is Telling Us,4.8
Web Application Technologies and Django,4.8
Weight Management: Beyond Balancing Calories,4.8
What Is Contemporary Art?,4.8
What is Compliance?,4.8
What is Data Science?,4.6
What is Social?,4.6
Wind Energy,4.7
Wine Tasting: Sensory Techniques for Wine Analysis,4.3
Write A Feature Length Screenplay For Film Or Television,4.7
Write Professional Emails in English,4.8
Write Your First Novel,3.9
Writing and Editing: Word Choice and Word Order,4.8
Writing in the Sciences,4.9
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.5
Étudier en France: French Intermediate course B1-B2,4.8
Математика и Python для анализа данных,4.6
Основы программирования на Python,4.2
Основы разработки на C++: белый пояс,4.8
Разработка веб-сервисов на Go - основы языка,4.7
